pair_id,label,filename_similarity,content_similarity,metadata_similarity,size_similarity,tfidf_similarity,embedding_similarity,sha256_match,overall_similarity,difficulty,geometric_cluster_id,is_labeled,uncertainty_score,difficulty_code
1466,0,0.6316,0.43,0.2498,0.4267,0.0231,0.0232,0.0,0.249,Non-Duplicate,0,False,0.5,4
1467,1,0.8511,1.0,0.5511,1.0,0.99,0.991,0.0,0.9359,Medium,3,False,0.5,1
1468,0,0.4255,0.4532,0.6005,0.0552,0.0215,0.026,0.0,0.2718,Non-Duplicate,0,False,0.5,4
1469,0,0.3571,0.3352,0.3242,0.0528,0.0199,0.0278,0.0,0.196,Non-Duplicate,0,False,0.5,4
1470,0,0.55,0.3701,0.2795,0.3303,0.0178,0.017,0.0,0.2203,Non-Duplicate,0,False,0.5,4
1471,1,0.84,1.0,1.0,1.0,0.9082,0.9083,0.0,0.9427,Medium,1,False,0.5,1
1472,0,0.3846,0.2913,0.2594,0.012,0.0431,0.0508,0.0,0.1873,Non-Duplicate,0,False,0.5,4
1473,1,0.8,1.0,0.5059,1.0,0.9674,0.9966,0.0,0.9218,Hard,3,False,0.5,2
1474,0,0.5641,0.3518,0.579,0.3202,0.0194,0.0178,0.0,0.2458,Non-Duplicate,0,False,0.5,4
1475,0,0.4103,0.4165,0.4279,0.9046,0.0183,0.0209,0.0,0.2383,Non-Duplicate,2,False,0.5,4
1476,1,0.7451,1.0,0.4333,1.0,1.0,1.0,0.0,0.9178,Hard,3,False,0.5,2
1477,0,0.5128,0.2931,0.5548,0.2564,0.0186,0.0202,0.0,0.218,Non-Duplicate,0,False,0.5,4
1478,0,0.4,0.3723,0.4772,0.3181,0.0183,0.0184,0.0,0.2263,Non-Duplicate,0,False,0.5,4
1479,0,0.6316,0.3964,0.2484,0.3545,0.0269,0.0279,0.0,0.239,Non-Duplicate,0,False,0.5,4
1480,1,0.8837,0.991,0.6667,1.0,0.9845,0.9979,0.0,0.9476,Medium,3,False,0.5,1
1481,1,0.8571,1.0,0.6667,1.0,0.9656,0.9701,0.0,0.9378,Medium,3,False,0.5,1
1482,1,0.8444,1.0,0.6667,1.0,0.9897,0.9893,0.0,0.9464,Medium,3,False,0.5,1
1483,0,0.4186,0.4023,0.384,0.3768,0.0224,0.0224,0.0,0.2311,Non-Duplicate,0,False,0.5,4
1484,1,0.9362,1.0,0.7667,1.0,0.9726,0.9751,0.0,0.9585,Easy,1,False,0.5,0
1485,0,0.95,0.637,0.3607,0.6436,0.2505,0.2648,0.0,0.4696,Non-Duplicate,2,False,0.5,4
1486,0,0.6809,0.7065,0.4178,0.9303,0.2738,0.2814,0.0,0.4819,Non-Duplicate,2,False,0.5,4
1487,0,0.4865,0.3224,0.3959,0.2434,0.0195,0.0198,0.0,0.2099,Non-Duplicate,0,False,0.5,4
1488,1,0.76,0.9985,0.6667,1.0,0.995,0.9996,0.0,0.9408,Medium,3,False,0.5,1
1489,0,0.95,0.7014,0.5594,0.8701,0.3703,0.3829,0.0,0.5656,Non-Duplicate,3,False,0.5,4
1490,0,0.5714,0.3644,0.5991,0.2971,0.0264,0.0277,0.0,0.2567,Non-Duplicate,0,False,0.5,4
1491,0,0.8947,0.8183,0.2571,0.9339,0.3708,0.3971,0.0,0.5737,Non-Duplicate,3,False,0.5,4
1492,1,0.8261,0.9956,0.6667,1.0,0.9972,0.9998,0.0,0.947,Medium,3,False,0.5,1
1493,1,0.7547,1.0,0.6667,1.0,1.0,1.0,0.0,0.9421,Medium,3,False,0.5,1
1494,0,0.5641,0.2843,0.3662,0.2129,0.0176,0.0195,0.0,0.2008,Non-Duplicate,0,False,0.5,4
1495,0,0.5128,0.3126,0.3105,0.2835,0.0209,0.0203,0.0,0.201,Non-Duplicate,0,False,0.5,4
1496,0,0.3284,0.2498,0.2977,0.0127,0.0518,0.0575,0.0,0.1745,Non-Duplicate,0,False,0.5,4
1497,0,0.6111,0.3297,0.421,0.2339,0.0256,0.0264,0.0,0.2303,Non-Duplicate,0,False,0.5,4
1498,1,0.8372,1.0,0.5575,1.0,0.9595,0.9715,0.0,0.9236,Hard,3,False,0.5,2
1499,1,0.8837,1.0,0.9096,1.0,0.9954,0.9999,0.0,0.9782,Easy,1,False,0.5,0
1500,0,0.4615,0.2884,0.6201,0.2336,0.0291,0.033,0.0,0.223,Non-Duplicate,0,False,0.5,4
1501,1,0.7692,0.9937,0.6667,1.0,0.9759,0.9944,0.0,0.9342,Medium,3,False,0.5,1
1502,1,0.8889,0.9969,0.6667,1.0,1.0,1.0,0.0,0.9545,Medium,3,False,0.5,1
1503,0,0.45,0.4176,0.4192,0.4357,0.018,0.0176,0.0,0.2411,Non-Duplicate,0,False,0.5,4
1504,1,0.8312,0.9759,0.4333,1.0,0.9915,0.9999,0.0,0.9159,Hard,3,False,0.5,2
1505,0,0.5333,0.8999,0.6119,0.5916,0.2986,0.3106,0.0,0.5663,Non-Duplicate,2,False,0.5,4
1506,0,0.4082,0.2152,0.4306,0.0199,0.0399,0.0422,0.0,0.1776,Non-Duplicate,0,False,0.5,4
1507,0,0.4651,0.4262,0.2553,0.8573,0.0241,0.0222,0.0,0.2317,Non-Duplicate,2,False,0.5,4
1508,0,0.3793,0.2736,0.6932,0.0127,0.041,0.0474,0.0,0.2227,Non-Duplicate,0,False,0.5,4
1509,1,0.7451,1.0,0.8822,1.0,0.9943,0.999,0.0,0.9611,Easy,1,False,0.5,0
1510,0,0.3284,0.2312,0.2384,0.0119,0.0281,0.0344,0.0,0.1515,Non-Duplicate,0,False,0.5,4
1511,1,0.8889,0.9909,0.7068,1.0,0.9104,0.9122,0.0,0.9164,Hard,3,False,0.5,2
1512,1,0.9057,1.0,0.9429,1.0,0.978,0.9979,0.0,0.9789,Easy,1,False,0.5,0
1513,1,0.878,0.9751,0.4333,1.0,0.9295,0.946,0.0,0.894,Hard,3,False,0.5,2
1514,0,0.5455,0.7541,0.2059,0.9672,0.4578,0.4721,0.0,0.548,Non-Duplicate,2,False,0.5,4
1515,1,0.8261,1.0,0.5868,1.0,1.0,1.0,0.0,0.9413,Medium,3,False,0.5,1
1516,1,0.9275,0.9983,0.7667,1.0,0.9995,0.9997,0.0,0.9686,Easy,1,False,0.5,0
1517,1,0.7547,0.9503,1.0,1.0,0.8048,0.877,0.0,0.8847,Hard,1,False,0.5,2
